TU,Genes,regulator_notes,regulator_genes,Bnb,ECKnb,Promoter
yjjQ-bglJ,"bglJ,yjjQ","DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator LeuO,DNA-binding transcriptional repressor GlaR","hns,leuO,glaR","b4366,b4365","ECK4356,ECK4355",yjjQp
ybcY,ybcY,,,b0562,ECK0554,
yaaJ,yaaJ,,,b0007,ECK0007,
yfdE,yfdE,DNA-binding transcriptional dual regulator Nac,nac,b2371,ECK2367,
cspI,cspI,,,b1552,ECK1546,cspIp2
ahpCF,"ahpC,ahpF","DNA-binding transcriptional repressor MetJ-<i>S</i>-adenosyl-L-methionine,DNA-binding transcriptional dual regulator OxyR,DNA-binding transcriptional dual regulator Nac","metJ,oxyR,nac","b0605,b0606","ECK0599,ECK0600",ahpCp1
cspD,cspD,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA,DNA-binding transcriptional dual regulator H-NS","crp,mqsA,hns",b0880,ECK0871,cspDp
preTA,"preA,preT",CRP-cyclic-AMP DNA-binding transcriptional dual regulator,crp,"b2147,b2146","ECK2140,ECK2139",preTp
rluB,rluB,,,b1269,ECK1263,
nepI,nepI,DNA-binding transcriptional dual regulator SoxS,soxS,b3662,ECK3653,nepIp
yjgB,ahr,,,b4269,ECK4262,
fecIR,"fecR,fecI","DNA-binding transcriptional dual regulator SlyA,Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator","slyA,fur","b4292,b4293","ECK4282,ECK4283",fecIp
yfhL,yfhL,DNA-binding transcriptional dual regulator Nac,nac,b2562,ECK2560,yfhLp
ygbF,cas2,,,b2754,ECK2749,ygbFp
melAB,"melA,melB","DNA-binding transcriptional dual regulator MelR,DNA-binding transcriptional activator MelR-melibiose,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","melR,crp","b4119,b4120","ECK4112,ECK4113",melAp
ftsQ,ftsQ,"DNA-binding transcriptional dual regulator SdiA,DNA-binding transcriptional dual regulator Lrp","sdiA,lrp",b0093,ECK0094,ftsQp2
yihUTS,"yihU,yihT,yihS",,,"b3882,b3881,b3880","ECK3875,ECK3874,ECK3873",yihUp1
pdxA-rsmA-apaGH,"apaH,apaG,rsmA,pdxA","DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional repressor GlaR","fis,glaR","b0049,b0050,b0051,b0052","ECK0050,ECK0051,ECK0052,ECK0053",pdxAp
metY-yhbC-nusA-infB,"infB,nusA,rimP,metY","DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Nac","fis,nac","b3168,b3169,b3170,b3171","ECK3157,ECK3158,ECK3159,ECK3160",metYp1
efeU,efeU,DNA-binding transcriptional dual regulator CpxR-phosphorylated,cpxR,b4490,ECK1007,efeUp
alsBACE,"alsE,alsC,alsA,alsB",,,"b4085,b4086,b4087,b4088","ECK4078,ECK4079,ECK4080,ECK4081",alsBp
yafC,yafC,DNA-binding transcriptional dual regulator Nac,nac,b0208,ECK0208,
recG,recG,DNA-binding transcriptional regulator CreB-phosphorylated,creB,b3652,ECK3642,
folC-dedD,"folC,dedD",,,"b2315,b2314","ECK2309,ECK2308",
pyrF-yciH,"yciH,pyrF",,,"b1282,b1281","ECK1277,ECK1276",pyrFp
purMN,"purM,purN","DNA-binding transcriptional repressor PurR-hypoxanthine,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator Lrp","purR,fnr,lrp","b2499,b2500","ECK2495,ECK2496",purMp
ldcA,ldcA,,,b1192,ECK1180,
metG,metG,,,b2114,ECK2107,metGp1
cbrA,cbrA,,,b3690,ECK3682,
secB-gpsA,"secB,gpsA",CRP-cyclic-AMP DNA-binding transcriptional dual regulator,crp,"b3609,b3608","ECK3599,ECK3598",secBp
ndk,ndk,DNA-binding transcriptional dual regulator ArcA-phosphorylated,arcA,b2518,ECK2514,
epd-pgk,"pgk,epd","DNA-binding transcriptional dual regulator Cra,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","cra,crp","b2926,b2927","ECK2922,ECK2923",epdp
betIBA,"betA,betB,betI","DNA-binding transcriptional dual regulator Cra,DNA-binding transcriptional repressor BetI,DNA-binding transcriptional dual regulator ArcA-phosphorylated","cra,betI,arcA","b0311,b0312,b0313","ECK0309,ECK0310,ECK0311",betIp
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"lpxC,ftsZ,ftsA,ftsQ,ddlB,murC,murG,ftsW,murD,mraY,murF,murE,ftsI,ftsL","DNA-binding transcriptional repressor LexA,ArgR-L-arginine DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional repressor GlaR","lexA,argR,lrp,glaR","b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083","ECK0097,ECK0096,ECK0095,ECK0094,ECK0093,ECK0092,ECK0091,ECK0090,ECK0089,ECK0088,ECK0087,ECK0086,ECK0085,ECK0084",ftsLp2
rmuC,rmuC,,,b3832,ECK3826,
kdsC-lptCAB,"lptB,lptA,lptC,kdsC",,,"b3201,b3200,b3199,b3198","ECK3190,ECK3189,ECK3188,ECK3187",kdsCp2
pheV,pheV,DNA-binding transcriptional dual regulator Fis,fis,b2967,ECK2962,pheVp
ibpB,ibpB,"DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator Lrp","ihfA,ihfB,lrp",b3686,ECK3678,ibpBp
rrlH-rrfH,"rrfH,rrlH",,,"b0205,b0204","ECK0205,ECK0204",rrlHp
yccFS,"yccF,yccS",,,"b0961,b0960","ECK0952,ECK0951",yccFp
araFGH,"araH,araG,araF",DNA-binding transcriptional dual regulator Nac,nac,"b4460,b1900,b1901","ECK1897,ECK1898,ECK1899",araFp2
ybaP,ybaP,,,b0482,ECK0476,
yidQ,yidQ,"DNA-binding transcriptional dual regulator CpxR-phosphorylated,DNA-binding transcriptional dual regulator Nac","cpxR,nac",b3688,ECK3680,yidQp
metH,metH,"Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator MetR,DNA-binding transcriptional dual regulator Lrp","fur,metR,lrp",b4019,ECK4011,metHp1
ycgX,ycgX,DNA-binding transcriptional dual regulator Nac,nac,b1161,ECK1148,
sibA,sibA,DNA-binding transcriptional dual regulator Nac,nac,b4436,ECK2068,sibAp
panZ,panZ,DNA-binding transcriptional dual regulator Lrp,lrp,b3459,ECK3443,
yiaD,yiaD,DNA-binding transcriptional dual regulator Nac,nac,b3552,ECK3539,
eutHA,"eutH,eutA",antitoxin/DNA-binding transcriptional repressor HipB,hipB,"b2452,b2451","ECK2447,ECK2446",
rpoH,rpoH,"DNA-binding transcriptional dual regulator CpxR-phosphorylated,DNA-binding transcriptional activator ZraR-phosphorylated","cpxR,zraR",b3461,ECK3445,rpoHp1
araFGH,"araH,araG,araF","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,AraC-&alpha;-L-arabinopyranose DNA-binding transcriptional activator,DNA-binding transcriptional dual regulator Nac","crp,araC,nac","b4460,b1900,b1901","ECK1897,ECK1898,ECK1899",araFp1
eno,eno,"DNA-binding transcriptional dual regulator Cra,DNA-binding transcriptional dual regulator Lrp","cra,lrp",b2779,ECK2773,enop2
rpnE-ypaA,"ypaA,rpnE",,,"b4543,b2244","ECK2237,ECK2236",
yciG,yciG,"DNA-binding transcriptional dual regulator McbR,DNA-binding transcriptional dual regulator H-NS","mcbR,hns",b1259,ECK1253,yciGp
ppiC,ppiC,DNA-binding transcriptional dual regulator YidZ,yidZ,b3775,ECK3767,ppiCp
gabDTP,"gabP,gabT,gabD",,,"b2663,b2662,b2661","ECK2657,ECK2656,ECK2655",gabDp2
pyrLBI,"pyrL,pyrI,pyrB","ArgR-L-arginine DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","argR,lrp,nac","b4246,b4244,b4245","ECK4241,ECK4239,ECK4240",pyrLp1
ycaD,ycaD,DNA-binding transcriptional dual regulator Nac,nac,b0898,ECK0889,
fucR,fucR,,,b2805,ECK2800,fucRp
rluF,rluF,,,b4022,ECK4014,
fadD-sroD,"sroD,fadD","DNA-binding transcriptional dual regulator FadR,DNA-binding transcriptional dual regulator ArcA-phosphorylated,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Rob","fadR,arcA,crp,rob",b1805,ECK1803,fadDp
galETKM,"galM,galK,galT,galE","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator HU,DNA-binding transcriptional dual regulator GalR,DNA-binding transcriptional dual regulator GalS,GalR-D-galactose,GalS-D-galactose","crp,hupA,hupB,galR,galS","b0756,b0757,b0758,b0759","ECK0745,ECK0746,ECK0747,ECK0748",galEp2
arcB,arcB,DNA-binding transcriptional dual regulator Lrp,lrp,b3210,ECK3200,arcBp
yoeF,yoeF,,,b4538,ECK2000,
ycfT,ycfT,,,b1115,ECK1101,
rlmJ,rlmJ,,,b3499,ECK3484,rlmJp
ybhD,ybhD,DNA-binding transcriptional dual regulator Nac,nac,b0768,ECK0757,
mngR,mngR,DNA-binding transcriptional repressor MngR,mngR,b0730,ECK0718,mngRp
ypeC,ypeC,,,b2390,ECK2386,
ileS-lspA-fkpB-ispH,"ispH,fkpB,lspA,ileS",,,"b0029,b0028,b0027,b0026","ECK0030,ECK0029,ECK0028,ECK0027",ileSp2
purEK,"purK,purE",DNA-binding transcriptional repressor PurR-hypoxanthine,purR,"b0522,b0523","ECK0515,ECK0516",purEp
yeaY,yeaY,,,b1806,ECK1804,yeaYp
yeiQ,yeiQ,DNA-binding transcriptional dual regulator ArcA-phosphorylated,arcA,b2172,ECK2166,
znuCB,"znuB,znuC","DNA-binding transcriptional dual regulator OxyR,Zur-Zn<sup>2+</sup> DNA-binding transcriptional repressor","oxyR,zur","b1859,b1858","ECK1860,ECK1859",znuCp
dgoRKADT,"dgoR,dgoK,dgoA,dgoD,dgoT","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional repressor DgoR","crp,dgoR","b4479,b3693,b4477,b4478,b3691","ECK3687,ECK3686,ECK3685,ECK3684,ECK3683",dgoRp
pdeI-dgcI,"dgcI,pdeI",,,"b0834,b0833","ECK0824,ECK0823",
glgCAP,"glgP,glgA,glgC",DNA-binding transcriptional dual regulator Lrp,lrp,"b3428,b3429,b3430","ECK3414,ECK3415,ECK3416",glgCp2
pepN,pepN,DNA-binding transcriptional dual regulator ArcA-phosphorylated,arcA,b0932,ECK0923,pepNp
hslR-hslO,"hslO,hslR",,,"b3401,b3400","ECK3388,ECK3387",hslRp
aroH,aroH,DNA-binding transcriptional repressor TrpR-L-tryptophan,trpR,b1704,ECK1702,aroHp1
hlpA-lpxD-fabZ-lpxA,"lpxA,fabZ,lpxD,skp","DNA-binding transcriptional dual regulator CpxR-phosphorylated,DNA-binding transcriptional activator GadE","cpxR,gadE","b0181,b0180,b0179,b0178","ECK0180,ECK0179,ECK0178,ECK0177",hlpAp
yedS,yedS,,,b4496,ECK1962,
malZ,malZ,DNA-binding transcriptional activator MalT-maltotriose-ATP,malT,b0403,ECK0397,malZp
yrhB,yrhB,DNA-binding transcriptional dual regulator Nac,nac,b3446,ECK3430,
ymdB-clsC,"clsC,ymdB",,,"b1046,b1045","ECK1032,ECK1031",ymdBp
csgDEFG,"csgG,csgF,csgE,csgD","Phosphorylated DNA-binding transcriptional dual regulator BtsR,DNA-binding transcriptional dual regulator H-NS,antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA,DNA binding transcriptional dual regulator RcdA,DNA-binding transcriptional dual regulator BasR-phosphorylated,DNA-binding transcriptional regulator FliZ,DNA-binding transcriptional dual regulator Cra,DNA-binding transcriptional activator MlrA,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional regulator RstA-phosphorylated,DNA-binding transcriptional dual regulator CpxR-phosphorylated,RcsAB DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator OmpR-phosphorylated,DNA-binding transcriptional dual regulator CsgD,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","btsR,hns,mqsA,rcdA,basR,fliZ,cra,mlrA,ihfA,ihfB,rstA,cpxR,rcsB,rcsA,ompR,csgD,crp","b1037,b1038,b1039,b1040","ECK1023,ECK1024,ECK1025,ECK1026",csgDp1
yahO,yahO,,,b0329,ECK0327,yahOp
gspCDEFGHIJKLMO,"gspO,gspM,gspL,gspK,gspJ,gspI,gspH,gspG,gspF,gspE,gspD,gspC","DNA-binding transcriptional dual regulator SlyA,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Nac","slyA,hns,nac","b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324","ECK3322,ECK3321,ECK3320,ECK3319,ECK3318,ECK3317,ECK3316,ECK3315,ECK3314,ECK3313,ECK3312,ECK3311",gspCp2
intS,intS,,,b2349,ECK2343,intSp
recF,recF,,,b3700,ECK3692,recFp1
sulA,sulA,"DNA binding transcriptional dual regulator RcdA,DNA-binding transcriptional repressor LexA,DNA-binding transcriptional dual regulator Lrp","rcdA,lexA,lrp",b0958,ECK0949,sulAp
asr,asr,"DNA-binding transcriptional dual regulator PhoB-phosphorylated,DNA-binding transcriptional regulator RstA-phosphorylated,DNA-binding transcriptional dual regulator H-NS,DNA binding transcriptional dual regulator RcdA","phoB,rstA,hns,rcdA",b1597,ECK1592,asrp2
yohO,yohO,DNA-binding transcriptional dual regulator Nac,nac,b4542,ECK2120,
ybhL,ybhL,DNA-binding transcriptional repressor YjjQ,yjjQ,b0786,ECK0775,ybhLp
dinD,dinD,DNA-binding transcriptional repressor LexA,lexA,b3645,ECK3635,dinDp
gntR,gntR,,,b3438,ECK3423,gntRp3
yecM-cutC,"yecM,cutC",,,"b1875,b1874","ECK1876,ECK1875",
argA,argA,"ArgR-L-arginine DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp","argR,lrp",b2818,ECK2814,argAp
potFGHI,"potI,potH,potG,potF","DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator ArcA-phosphorylated,ArgR-L-arginine DNA-binding transcriptional dual regulator","lrp,arcA,argR","b0857,b0856,b0855,b0854","ECK0848,ECK0847,ECK0846,ECK0845",potFp2
ytfK,ytfK,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator Lrp","crp,nac,lrp",b4217,ECK4213,ytfKp2
rutABCDEFG,"rutA,rutB,rutC,rutD,rutE,rutF,rutG","DNA-binding transcriptional dual regulator RutR,DNA-binding transcriptional dual regulator NtrC-phosphorylated,DNA-binding transcriptional dual regulator PhoP-phosphorylated,DNA-binding transcriptional dual regulator ArcA-phosphorylated,DNA-binding transcriptional dual regulator Nac","rutR,glnG,phoP,arcA,nac","b1012,b1011,b1010,b1009,b1008,b1007,b1006","ECK1003,ECK1002,ECK1001,ECK1000,ECK0999,ECK0998,ECK0997",rutAp
yecT,yecT,RcsB-BglJ DNA-binding transcriptional activator,"bglJ,rcsB",b1877,ECK1878,yecTp
gnd,gnd,"DNA-binding transcriptional dual regulator FNR,Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional activator GadE","fnr,fur,gadE",b2029,ECK2024,gndp
yhfL,yhfL,DNA-binding transcriptional dual regulator Nac,nac,b3369,ECK3357,
gfcBCD,"gfcB,gfcC,gfcD",,,"b0986,b0985,b0984","ECK0977,ECK0976,ECK0975",
dsdA,dsdA,"DsdC-D-serine DNA-binding transcriptional dual regulator,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","dsdC,crp",b2366,ECK2362,dsdAp
ubiF,ubiF,,,b0662,ECK0654,
ogrK,ogrK,,,b2082,ECK2079,
yfbV,yfbV,DNA-binding transcriptional dual regulator Nac,nac,b2295,ECK2289,
amiA-hemF,"hemF,amiA",DNA-binding transcriptional dual regulator IHF,"ihfA,ihfB","b2436,b2435","ECK2431,ECK2430",amiAp
ompF,ompF,"DNA-binding transcriptional dual regulator PhoB-phosphorylated,DNA-binding transcriptional regulator RstA-phosphorylated,DNA-binding transcriptional dual regulator CpxR-phosphorylated,DNA-binding transcriptional dual regulator OmpR-phosphorylated,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional activator EnvY,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Nac","phoB,rstA,cpxR,ompR,ihfA,ihfB,envY,crp,fur,nac",b0929,ECK0920,ompFp
pgi,pgi,DNA-binding transcriptional dual regulator SoxS,soxS,b4025,ECK4017,pgip2
yegX,yegX,,,b2102,ECK2095,
abrB,abrB,,,b0715,ECK0704,
yiaY,yiaY,,,b3589,ECK3578,
poxB,poxB,"DNA-binding transcriptional dual regulator SoxS,DNA-binding transcriptional dual regulator MarA,DNA-binding transcriptional dual regulator Cra","soxS,marA,cra",b0871,ECK0862,poxBp2
rpsU-dnaG-rpoD,"rpsU,dnaG,rpoD",DNA-binding transcriptional dual regulator YfeC,yfeC,"b3065,b3066,b3067","ECK3055,ECK3056,ECK3057",rpsUp2
pcnB-folK,"folK,pcnB",,,"b0142,b0143","ECK0141,ECK0142",pcnBp2
ryfD,ryfD,,,b4609,ECK4418,ryfDp
luxS,luxS,DNA-binding transcriptional activator UvrY-phosphorylated,uvrY,b2687,ECK2681,luxSp2
phoU,phoU,DNA-binding transcriptional dual regulator PhoB-phosphorylated,phoB,b3724,ECK3717,phoUp
yebV,yebV,,,b1836,ECK1835,
idnR,idnR,,,b4264,ECK4257,idnRp
csrD,csrD,,,b3252,ECK3240,
ycbJ,ycbJ,,,b0919,ECK0910,ycbJp
yacC-speED,"yacC,speD,speE",,,"b0122,b0120,b0121","ECK0121,ECK0119,ECK0120",yacCp
sraA,sraA,,,,,
sraB,sraB,,,b4418,ECK1073,psrDp
katG,katG,"Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator OxyR,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator FNR","fur,oxyR,nac,fnr",b3942,ECK3934,katGp
topA,topA,DNA-binding transcriptional dual regulator Lrp,lrp,b1274,ECK1268,topAp2
yeeZ,yeeZ,DNA-binding transcriptional dual regulator Nac,nac,b2016,ECK2010,
pcnB-folK,"folK,pcnB",,,"b0142,b0143","ECK0141,ECK0142",pcnBp
yhjG,yhjG,,,b3524,ECK3509,yhjGp
hscC,hscC,,,b0650,ECK0643,
dnaKJ,"tpke11,dnaK,dnaJ",,,"b0014,b0015","ECK0014,ECK0015",dnaKp2
eno,eno,DNA-binding transcriptional dual regulator Lrp,lrp,b2779,ECK2773,enop5
yeaGH,"yeaH,yeaG","DNA-binding transcriptional dual regulator NtrC-phosphorylated,DNA-binding transcriptional dual regulator Lrp","glnG,lrp","b1784,b1783","ECK1782,ECK1781",yeaGp1
scpA-argK-scpBC,"scpC,scpB,argK,scpA","DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator Nac","fnr,nac","b2920,b2919,b2918,b2917","ECK2916,ECK2915,ECK2914,ECK2913",
lacZYA,"lacA,lacY,lacZ",,,"b0342,b0343,b0344","ECK0339,ECK0340,ECK0341",lacZp4
insH-11,insH11,,,b3505,ECK0261,
ybjQ-amiD,"amiD,ybjQ",DNA-binding transcriptional dual regulator Nac,nac,"b0867,b0866","ECK0858,ECK0857",ybjQp
tsaB-yeaY,"tsaB,yeaY",,,"b1807,b1806","ECK1805,ECK1804",tsaBp
rdlB,rdlB,,,b4422,ECK1207,
ibaG,ibaG,DNA-binding transcriptional activator MlrA,mlrA,b3190,ECK3179,ibaGp2
deoCABD,"deoC,deoA,deoB,deoD","DNA-binding transcriptional repressor DeoR,DNA-binding transcriptional repressor CytR,DNA-binding transcriptional dual regulator ModE-molybdate,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Lrp","deoR,cytR,modE,crp,fis,lrp","b4381,b4382,b4383,b4384","ECK4373,ECK4374,ECK4375,ECK4376",deoCp2
rpmH-rnpA,"rpmH,rnpA","DNA-binding transcriptional dual regulator YfeC,DNA-binding transcriptional dual regulator Nac","yfeC,nac","b3703,b3704","ECK3695,ECK3696",rpmHp1
yeeL,yeeL,,,b4497,ECK1975,
truD,truD,,,b2745,ECK2740,
yhhH,yhhH,,,b3483,ECK3467,
mfd,mfd,,,b1114,ECK1100,mfdp1
htpX,htpX,DNA-binding transcriptional dual regulator Nac,nac,b1829,ECK1828,htpXp
gntR,gntR,,,b3438,ECK3423,gntRp4
mreBCD,"mreD,mreC,mreB",DNA-binding transcriptional dual regulator Nac,nac,"b3249,b3250,b3251","ECK3237,ECK3238,ECK3239",mreBp2
rna,rna,,,b0611,ECK0604,rnap
ygaC,ygaC,"Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Nac","fur,nac",b2671,ECK2665,ygaCp
ssrS-ygfA,"fau,ssrS","DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional repressor StpA with RNA chaperone activity,DNA-binding transcriptional dual regulator Fis","hns,lrp,stpA,fis","b2912,b2911","ECK2907,ECK2906",ssrSp
bolA,bolA,"DNA-binding transcriptional dual regulator OmpR-phosphorylated,DNA-binding transcriptional dual regulator H-NS","ompR,hns",b0435,ECK0429,bolAp
narK,"narS,narK","DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator FNR","nac,fnr","b4813,b1223","ECK4670,ECK1217",narKp2
mcbA,mcbA,"DNA-binding transcriptional dual regulator McbR,DNA-binding transcriptional dual regulator Nac","mcbR,nac",b0806,ECK0795,mcbAp5
nlpA,nlpA,"DNA-binding transcriptional dual regulator CsgD,DNA-binding transcriptional repressor GlaR","csgD,glaR",b3661,ECK3651,nlpAp
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF,"rrfF,thrV,rrfD,rrlD,alaU,ileU,rrsD","DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Lrp-L-leucine,DNA-binding transcriptional dual regulator H-NS","fis,lrp,hns","b3272,b3273,b3274,b3275,b3276,b3277,b3278","ECK3259,ECK3260,ECK3261,ECK3262,ECK3263,ECK3264,ECK3265",rrsDp
yeaC,yeaC,,,b1777,ECK1775,
erpA,erpA,DNA-binding transcriptional dual regulator IscR,iscR,b0156,ECK0155,erpAp
yhaBC,"yhaC,yhaB",DNA-binding transcriptional dual regulator Nac,nac,"b3121,b3120","ECK3110,ECK3109",
alkA,alkA,DNA-binding transcriptional dual regulator / DNA repair protein Ada,ada,b2068,ECK2062,alkAp
ppk-ppx,"ppx,ppk","DNA-binding transcriptional repressor GlaR,DNA-binding transcriptional dual regulator Lrp","glaR,lrp","b2502,b2501","ECK2498,ECK2497",
yedEF,"yedF,yedE",,,"b1930,b1929","ECK1929,ECK1928",
ybbB,selU,,,b0503,ECK0496,
greB,greB,DNA-binding transcriptional dual regulator Nac,nac,b3406,ECK3393,
pspF,pspF,,,b1303,ECK1298,pspFp2
pflB,pflB,DNA-binding transcriptional dual regulator YeiE,yeiE,b0903,ECK0894,pflBp5
ybcV,ybcV,"DNA-binding transcriptional dual regulator PdhR,DNA-binding transcriptional dual regulator Nac","pdhR,nac",b0558,ECK0550,
mnmA,mnmA,DNA-binding transcriptional dual regulator Lrp,lrp,b1133,ECK1119,mnmAp
mqsA,mqsA,,,b3021,ECK3012,mqsAp1
glsA-ybaT,"ybaT,glsA",DNA-binding transcriptional dual regulator GadX,gadX,"b0486,b0485","ECK0480,ECK0479",glsAp
ruvC,ruvC,,,b1863,ECK1864,ruvCp
gadAX,"gadX,gadA","DNA-binding transcriptional dual regulator ArcA-phosphorylated,GadE-RcsB DNA-binding transcriptional activator,DNA-binding transcriptional dual regulator FNR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator RcsB-phosphorylated,DNA-binding transcriptional activator AdiY,DNA-binding transcriptional dual regulator GadX,DNA-binding transcriptional dual regulator GadW,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR,DNA-binding transcriptional dual regulator TorR-phosphorylated","arcA,rcsB,gadE,fnr,crp,hns,fis,adiY,gadX,gadW,nac,glaR,torR","b3516,b3517","ECK3501,ECK3502",gadAp2
nlpC,nlpC,,,b1708,ECK1706,
ybgS,ybgS,DNA-binding transcriptional dual regulator Lrp,lrp,b0753,ECK0742,
grxD,grxD,DNA-binding transcriptional dual regulator NsrR,nsrR,b1654,ECK1650,grxD
clpB,clpB,,,b2592,ECK2590,clpBp2
higBA,"higB,higA","HigB-HigA toxin/antitoxin complex and DNA-binding transcriptional repressor,antitoxin/DNA-binding transcriptional repressor HigA","higA,higB","b3083,b3082","ECK3073,ECK3072",higBp
