b_number	dN/dS	dN	dS
b3194	0.0159	0.0019	0.1178
b3195	0.02898	0.0069	0.2376
b3196	0.6615	0.0548	0.0828
b3197	0.04795	0.0102	0.2122
b3198	0.20196	0.0322	0.1596
b3199	0.14533	0.0126	0.0864
b3200	0.02097	0.0053	0.2514
b3201	0.03879	0.0082	0.2103
b3202	0.03117	0.0104	0.3329
b3203	0.03986	0.0047	0.1188
b3204	0.11527	0.0324	0.2813
b3205	0.01785	0.005	0.2796
b3206	0.02419	0.8294	34.2895
b3207	0.15076	0.0491	0.3254
b3208	0.14688	0.0537	0.3656
b3209	0.15687	0.0413	0.263
b4450	NA	NA	NA
b3210	0.03222	0.0101	0.3121
b3211	0.05417	0.0229	0.4224
b3212	NA	NA	NA
b3213	0.05184	0.0467	0.9016
b3214	NA	NA	NA
b3215	NA	NA	NA
b3216	0.97587	0.0013	0.0013
b4569	NA	NA	NA
b3218	0.76977	1.0393	1.3501
b3219	0.58931	1.7082	2.8987
b3220	NA	NA	NA
b3221	0.08817	0.0743	0.8426
b3222	0.15055	0.1109	0.737
b3223	0.05176	0.0278	0.5367
b3224	0.03808	0.022	0.5765
b3225	0.02619	0.0206	0.7878
b3226	0.02349	0.0103	0.4365
b3227	NA	NA	NA
b3228	0.1067	0.0202	0.1893
b3229	0.05163	0.0064	0.1232
b3230	0.0001	0	0.0381
b3231	0.0001	0	0.0009
b3232	0.12837	0.0767	0.5974
b3233	NA	NA	NA
b3234	0.03808	0.0128	0.3366
b3235	0.02772	0.0149	0.5387
b3236	0.11707	0.026	0.2223
b3237	NA	NA	NA
b3238	0.06912	0.0111	0.1608
b3239	0.07907	0.0149	0.1887
b3240	0.04868	0.0196	0.4031
b3241	0.04209	0.0148	0.3508
b3242	0.32988	0.0171	0.0517
b3243	0.01243	0.0081	0.6537
b3244	0.02031	0.0073	0.3589
b4472	0.00535	0.0026	0.4847
b3247	0.01083	0.0049	0.4512
b3248	NA	NA	NA
b3249	0.0267	0.0035	0.1327
b3250	0.12394	0.0329	0.2652
b3251	0.01374	0.0016	0.1178
b3252	0.14786	0.0338	0.2286
b3253	0.15477	0.0361	0.2335
b4697	NA	NA	NA
b4646	NA	NA	NA
b3255	0.05176	0.0063	0.1214
b3256	0.01498	0.0063	0.4181
b3257	0.60942	0.0913	0.1499
b3258	0.03039	0.0202	0.6637
b3259	0.04667	0.0176	0.3776
b3260	0.02038	0.0016	0.0805
b3261	0.0001	0	0.0618
b3262	0.15447	0.0517	0.3347
b3263	0.34377	0.0367	0.1068
b3264	0.11085	0.041	0.3696
b3265	0.09619	0.023	0.2395
b3266	0.03753	0.0155	0.413
b3267	NA	NA	NA
b3268	NA	NA	NA
b3269	0.09367	0.0547	0.5841
b3270	0.17278	0.0735	0.4255
b3271	0.14105	0.0591	0.4189
b3273	999	0.0004	0
b3276	999	0.0001	0
b3277	NA	NA	NA
b3279	NA	NA	NA
b3280	0.08773	0.0764	0.8708
b3281	0.18518	0.0701	0.3783
b3282	0.11802	0.0239	0.2026
b3283	0.15662	0.0334	0.2132
b3284	0.07162	0.0236	0.3294
b4473	NA	NA	NA
b3287	0.0001	0	0.0677
b3288	0.10868	0.0442	0.4067
b3289	0.10918	0.0464	0.4251
b3290	NA	NA	NA
b3291	0.05386	0.0239	0.4442
b4550	NA	NA	NA
b3292	0.05633	0.0196	0.3473
b3293	0.11992	0.065	0.5423
b3294	0.30301	0.0133	0.044
b3295	0.17837	0.0031	0.0174
b3296	1.27562	0.0277	0.0217
b3297	0.07859	0.0037	0.0472
b3298	0.60601	0.0126	0.0207
b3299	0.0001	0	0.0017
b3300	0.04994	0.0034	0.0689
b3301	0.1108	0.0066	0.0591
b3302	0.0001	0	0.0012
b3303	0.06963	0.0058	0.0827
b3304	0.0001	0	0.0006
b3305	0.0001	0	0.0336
b3306	0.0001	0	0.0164
b3307	999	0.0046	0
b3308	0.25208	0.1108	0.4395
b3309	0.17897	0.0051	0.0284
b3310	0.22225	0.0078	0.0351
b3311	0.0001	0	0.023
b3312	0.0001	0	0.0452
b3313	0.0001	0	0.0214
b3314	0.17576	0.006	0.0343
b3315	1.31551	0.0136	0.0103
b3316	0.0001	0	0.0423
b3317	0.18317	0.0056	0.0305
b3318	0.0001	0	0.0379
b3319	0.0001	0	0.0285
b3320	0.05422	0.0023	0.0432
b3321	0.0001	0	0.0369
b3322	NA	NA	NA
b3323	0.64777	0.0673	0.1039
b3324	1.64763	1.3088	0.7943
b3325	NA	NA	NA
b3326	NA	NA	NA
b3327	NA	NA	NA
b3328	0.0399	0.5396	13.5261
b3329	0.69163	2.899	4.1915
b3330	1.37232	1.8209	1.3268
b3331	0.14491	0.0398	0.2747
b3332	NA	NA	NA
b3333	0.63829	0.0398	0.0623
b3334	0.66472	0.0317	0.0477
b3335	0.41743	14.5578	        -nan
b3336	NA	NA	NA
b3337	0.00793	0.0748	9.4239
b3338	0.38105	0.1358	0.3564
b3339	NA	NA	NA
b3340	NA	NA	NA
b3341	0.0001	0	0.0311
b3342	0.24435	0.0123	0.0505
b3343	0.27181	0.0701	0.2578
b3344	NA	NA	NA
b3345	0.15544	0.082	0.5275
b3346	0.0325	0.0119	0.3654
b3347	0.04507	0.0103	0.2278
b3348	0.2379	0.0222	0.0932
b3349	0.04183	0.0108	0.2571
b4551	NA	NA	NA
b3350	0.05528	0.0545	0.9865
b3351	0.4	        -nan	0.3567
b3352	0.03473	0.019	0.5477
b3353	0.12909	0.065	0.5035
b3354	0.17221	0.0136	0.0793
b3355	0.03115	0.0131	0.421
b3356	0.0492	0.0183	0.3721
b3357	0.07618	0.0069	0.0899
b3358	NA	NA	NA
b3359	0.1041	0.0579	0.5559
b3360	0.13756	0.0599	0.4355
b3361	0.12083	0.0823	0.6809
b3362	NA	NA	NA
b3363	0.30216	0.0368	0.1217
b3364	0.06511	0.033	0.5069
b3365	0.01906	0.0114	0.5994
b3366	0.02491	0.0132	0.5298
b3367	0.01247	0.0079	0.6297
b3368	0.02123	0.0205	0.967
b3369	0.1067	0.8368	7.8429
b3370	0.02257	0.0036	0.1579
b3371	NA	NA	NA
b4474	NA	NA	NA
b3374	NA	NA	NA
b3375	0.01437	0.0041	0.2858
b3376	NA	NA	NA
b3377	0.03505	0.0253	0.723
b3378	NA	NA	NA
b3379	NA	NA	NA
b3380	0.16061	0.1609	1.0017
b3381	0.1836	0.1525	0.8306
b3382	0.25448	0.1378	0.5413
b3383	NA	NA	NA
b3384	0.0274	0.0155	0.5664
b3385	0.08456	0.0443	0.5242
b3386	0.01107	0.0063	0.5686
b3387	0.07622	0.0115	0.1508
b3388	NA	NA	NA
b3389	0.15237	0.0259	0.17
b3390	0.0001	0	0.0942
b3391	0.14399	0.0426	0.2956
b3392	NA	NA	NA
b3393	0.41253	0.7106	1.7226
b3394	0.19963	0.1138	0.5702
b3395	NA	NA	NA
b3396	0.02308	0.0095	0.411
b3397	0.07668	0.0206	0.2682
b3398	0.09044	0.0315	0.3485
b3399	0.0965	0.0228	0.2358
b3400	0.21538	0.0175	0.0813
b3401	0.04969	0.0179	0.3608
b3402	0.24902	0.1305	0.5239
b3403	0.02164	0.0166	0.766
b3404	0.02565	0.0221	0.8599
b3405	0.01568	0.0062	0.3978
b3406	0.01858	0.0085	0.46
b3407	0.07158	0.0173	0.2412
b3408	NA	NA	NA
b3409	0.01751	0.014	0.8011
b3410	0.06945	0.0444	0.6399
b3411	0.13827	0.1366	0.9876
b3412	0.12701	0.0981	0.7725
b3413	0.13123	0.0717	0.5461
b3414	0.00615	0.0049	0.8042
b3415	0.0098	0.0048	0.4903
b3416	0.09472	0.0583	0.615
b3417	0.01611	0.008	0.4973
b3418	0.06767	0.0346	0.5119
b4475	0.18093	1.8378	10.1579
b3421	0.06895	0.0701	1.0169
b3422	0.08173	0.1614	1.975
b3423	0.00815	0.0073	0.8916
b3424	0.0481	0.0174	0.3627
b3425	0.06914	0.0434	0.6277
b3426	0.07829	0.077	0.9839
b3427	NA	NA	NA
b3428	0.02464	0.0119	0.485
b3429	0.01796	0.0052	0.2872
b3430	0.03286	0.0068	0.2084
b3431	0.09793	0.032	0.327
b3432	0.04036	0.0159	0.3927
b3433	0.09692	0.0159	0.1642
b3434	0.03634	0.0131	0.3613
b4476	0.01111	0.0096	0.8605
b3437	0.03685	0.0176	0.4768
b3438	0.02915	0.0233	0.7988
b3439	0.06327	0.033	0.5214
b3440	0.05282	0.0379	0.7184
b4451	NA	NA	NA
b3441	0.18553	0.2831	1.5261
b3442	NA	NA	NA
b3443	NA	NA	NA
b3444	NA	NA	NA
b3445	NA	NA	NA
b3446	NA	NA	NA
b3447	0.0959	0.138	1.4389
b3448	0.05129	0.0282	0.5496
b3449	0.11801	0.0924	0.783
b3450	0.08237	0.0681	0.8271
b3451	0.02086	0.0209	1.0005
b3452	0.03509	0.0285	0.8109
b3453	0.01874	0.0164	0.8733
b3454	0.01058	0.0156	1.4746
b3455	0.01366	0.0148	1.0831
b3456	0.02921	0.0488	1.669
b3457	0.01159	0.0191	1.6468
b3458	0.04169	0.0328	0.7871
b3459	0.11483	0.0929	0.8086
b3460	0.0176	0.0141	0.7998
b3461	0.00614	0.0038	0.6262
b3462	0.01513	0.0125	0.8272
b3463	0.0189	0.0065	0.3428
b3464	0.13682	0.0836	0.6109
b3465	0.09106	0.0304	0.3341
b3466	0.03499	0.0116	0.3306
b3467	0.16113	0.0672	0.4171
b3468	0.02884	0.0183	0.6355
b3469	0.06429	0.0735	1.1427
b3470	0.02553	0.0274	1.0742
b3471	0.02692	0.0165	0.6118
b3472	0.29992	0.0537	0.1789
b3473	0.12057	0.0567	0.47
b3474	0.03159	0.0182	0.5766
b3475	0.09729	0.0366	0.3759
b3476	0.05883	0.0402	0.6827
b3477	0.01849	0.0165	0.8907
b3478	NA	NA	NA
b3479	NA	NA	NA
b3480	0.1013	0.0853	0.8425
b3481	0.03096	0.0258	0.8319
b3482	NA	NA	NA
b3483	NA	NA	NA
b4552	NA	NA	NA
b3484	NA	NA	NA
b3485	0.02452	0.0194	0.7929
b3486	0.03436	0.0394	1.1454
b3487	0.06462	0.0611	0.9456
b3488	NA	NA	NA
b4660	NA	NA	NA
b3491	0.05603	0.0852	1.5212
b3492	0.09958	0.0524	0.5262
b3493	0.02267	0.0084	0.3698
b3494	0.03916	0.0063	0.161
b3495	0.0001	0	0.1993
b3496	0.03756	0.0183	0.4868
b3497	0.0146	0.0196	1.342
b3498	0.01582	0.0184	1.1645
b3499	0.05956	0.0397	0.6672
b3500	0.02832	0.021	0.7415
b4613	0.65205	3.5339	5.4196
b4712	NA	NA	NA
b4713	0.35679	13.3703	37.4736
b3501	NA	NA	NA
b3502	0.07798	0.0309	0.3968
b3503	0.13361	0.0931	0.6967
b3504	NA	NA	NA
b3505	NA	NA	NA
b3506	0.0098	0.0023	0.2354
b3507	0.06513	0.0146	0.2246
b3508	NA	NA	NA
b3509	0.07761	0.0175	0.2251
b3510	0.22577	0.0256	0.1135
b3511	0.43363	0.1575	0.3631
b4704	NA	NA	NA
b3512	0.19117	0.0497	0.2599
b3513	0.04164	0.0134	0.323
b3514	0.04851	0.0161	0.3313
b3515	0.10941	0.0514	0.4694
b4452	NA	NA	NA
b3516	0.25944	0.0965	0.3718
b3517	NA	NA	NA
b3518	0.02308	0.0085	0.3701
b3519	0.05039	0.0133	0.2631
b3520	0.12246	0.0249	0.2037
b3521	0.2855	0.0743	0.2604
b3522	0.05113	0.0262	0.513
b3523	0.03942	0.0223	0.5656
b3524	0.04768	0.0355	0.7447
b3525	0.15734	0.0631	0.4011
b3526	0.11809	0.0332	0.2815
b3527	0.0925	0.0298	0.3216
b3528	0.05213	0.0115	0.2214
b3529	NA	NA	NA
b3530	0.0173	0.0105	0.6055
b3531	0.09241	0.0275	0.2979
b3532	0.04635	0.0218	0.4706
b3533	0.115	0.0437	0.3796
b3534	NA	NA	NA
b3535	NA	NA	NA
b3536	NA	NA	NA
b3537	0.37993	0.0152	0.0401
b3538	0.73968	0.0877	0.1185
b4453	NA	NA	NA
b4454	NA	NA	NA
b3539	NA	NA	NA
b3540	0.04422	0.0455	1.0287
b3541	0.01948	0.0142	0.7305
b3542	0.00735	0.0047	0.6417
b3543	0.01536	0.0138	0.8974
b3544	0.01131	0.0079	0.7004
b3545	0.0001	0	0.0008
b3546	NA	NA	NA
b3547	0.11409	0.1474	1.2925
b3548	NA	NA	NA
b3549	0.12103	0.0405	0.3343
b3550	0.20534	0.0875	0.4264
b3551	0.13268	0.1011	0.7622
b3552	0.05693	0.0155	0.2729
b3553	0.13432	0.0459	0.3417
b3554	0.04357	0.013	0.2982
b3555	0.03802	0.0143	0.3774
b3556	0.0001	0	0.0493
b4455	0.60737	4.4331	7.2988
b4647	NA	NA	NA
b3557	0.15683	0.0053	0.0337
b3558	NA	NA	NA
b4614	NA	NA	NA
b3559	NA	NA	NA
b3560	0.023	0.0059	0.2571
b4553	0.03298	0.0218	0.6614
b3561	0.10851	0.0537	0.4951
b3562	0.09224	0.0654	0.7091
b3563	0.46189	0.55	1.1909
b3564	NA	NA	NA
b3565	0.04167	0.0118	0.2825
b3566	0.05446	0.0191	0.3498
b3567	0.11103	0.0265	0.2388
b3568	0.02753	0.0148	0.5391
b3569	0.08029	0.0147	0.1836
b3570	0.03286	0.0148	0.4517
b3571	0.23872	0.0897	0.3758
b3572	0.08736	0.0361	0.4136
b3573	0.2387	0.0748	0.3136
b3574	0.03635	0.011	0.3023
b3575	0.02524	0.0199	0.7873
b3576	0.17435	0.1578	0.9052
b3577	NA	NA	NA
b3578	0.15939	0.8855	5.5555
b3579	0.05374	0.0504	0.9379
b3580	0.12013	0.0897	0.7471
b3581	0.11344	0.095	0.8372
b3582	0.05235	0.0441	0.8414
b3583	0.10937	0.1027	0.9393
b4648	NA	NA	NA
b4649	NA	NA	NA
b3584	NA	NA	NA
b3585	0.07277	0.0189	0.2597
b3586	0.05147	0.0254	0.4939
b3587	0.07616	0.0224	0.294
b3588	0.01792	0.017	0.9473
b3589	0.03476	0.0315	0.9071
b3590	0.06445	0.0508	0.7882
b3591	0.11223	0.0273	0.2432
b3592	0.06143	0.0162	0.2642
b3593	NA	NA	NA
b3594	NA	NA	NA
b3595	NA	NA	NA
b3596	NA	NA	NA
b4650	NA	NA	NA
b4651	NA	NA	NA
b4615	NA	NA	NA
b4652	NA	NA	NA
b3597	0.27275	0.1374	0.5037
b3598	0.19164	0.1026	0.5353
b3599	0.02159	0.0127	0.5899
b3600	0.05926	0.0437	0.738
b3601	0.04091	0.0122	0.2978
b4554	0.07723	0.0204	0.2637
b3602	0.01435	0.0159	1.1069
b3603	0.00964	0.0088	0.9171
b3604	0.09342	0.0454	0.4858
b3605	0.01347	0.0152	1.1258
b3606	0.05408	0.0307	0.5673
b3607	0.00604	0.007	1.15
b3608	0.00719	0.0044	0.611
b3609	0.0374	0.0062	0.1655
b3610	0.02253	0.006	0.2644
b3611	0.07039	0.0147	0.2091
b3612	0.0001	0	0.201
b3613	0.02714	0.018	0.6629
b3614	0.1005	0.0534	0.5317
b3615	NA	NA	NA
b3616	0.01577	0.0151	0.9593
b3617	0.03304	0.0298	0.9017
b3618	NA	NA	NA
b3619	0.08366	0.031	0.3704
b3620	0.04769	0.0318	0.6665
b3621	NA	NA	NA
b3622	NA	NA	NA
b3623	NA	NA	NA
b3624	NA	NA	NA
b3625	0.04499	0.5836	12.9709
b3626	0.06493	0.9618	14.8119
b3627	NA	NA	NA
b3628	NA	NA	NA
b3629	NA	NA	NA
b3630	NA	NA	NA
b3631	0.05483	0.1083	1.9756
b3632	0.06858	0.2723	3.9698
b3633	NA	NA	NA
b3634	0.08817	0.0251	0.2845
b3635	NA	NA	NA
b3636	2.63508	0.069	0.0262
b3637	NA	NA	NA
b3638	0.07084	0.0173	0.2448
b3639	NA	NA	NA
b3640	0.11305	0.022	0.1945
b3641	0.0001	0	0.229
b3642	0.05842	0.0321	0.5489
b3643	0.046	0.0257	0.5584
b3644	NA	NA	NA
b3645	0.26322	0.2283	0.8673
b3646	0.01707	0.0075	0.4365
b3647	0.17992	0.0867	0.4818
b3648	0.01809	0.0029	0.1599
b3649	0.0001	0	0.0661
b3650	0.00987	0.0078	0.7925
b3651	0.04906	0.0265	0.54
b3652	NA	NA	NA
b3653	0.01496	0.0084	0.5612
b3654	0.03588	0.0126	0.3508
b3655	0.17079	0.0779	0.4559
b3656	0.08223	0.0338	0.4114
b3657	0.07724	0.0262	0.3393
b3658	NA	NA	NA
b4653	NA	NA	NA
b3659	0.10397	0.0174	0.1671
b3660	NA	NA	NA
b3661	0.10599	0.0441	0.4164
b4555	0.22877	1.1598	5.0696
b3662	NA	NA	NA
b3663	0.10424	0.0331	0.3176
b3664	NA	NA	NA
b3665	NA	NA	NA
b3666	0.02653	0.0134	0.5039
b3667	0.0692	0.0412	0.5959
b3668	NA	NA	NA
b3669	0.02504	0.0173	0.6901
b3670	0.18784	0.1214	0.6464
b3671	0.05238	0.0421	0.8036
b3672	0.36326	6.2	17.0676
b4616	0.15749	64.4175	409.0254
b4618	NA	NA	NA
b3673	0.04413	0.0203	0.4597
b3674	0.17686	0.069	0.3902
b3675	0.11945	0.0131	0.1094
b3676	0.06359	0.0183	0.2875
b3677	0.25009	0.0348	0.1392
b3678	NA	NA	NA
b3679	NA	NA	NA
b3680	0.06453	0.021	0.3255
b4556	NA	NA	NA
b3683	0.07819	0.0288	0.368
b3684	0.13708	0.0438	0.3192
b3685	0.02608	0.0167	0.6386
b3686	0.07838	0.0144	0.1835
b3687	0.0001	0	0.1431
b3688	0.09642	0.072	0.7467
b3689	0.14073	0.1102	0.7828
b3690	0.15268	0.1182	0.7739
b3691	0.04605	0.0217	0.4722
b4478	0.03807	0.0181	0.4752
b4477	0.11222	0.7106	6.332
b3693	0.23158	0.0671	0.2897
b4479	0.16306	1.2759	7.8249
b3696	NA	NA	NA
b3697	0.02988	0.0151	0.5046
b3698	0.08564	0.0683	0.7976
b3699	NA	NA	NA
b3700	0.01687	0.0094	0.5585
b3701	NA	NA	NA
b3702	0.03636	0.0116	0.3179
b3703	0.0001	0	0.0011
b3704	1.43826	0.041	0.0285
b4557	NA	NA	NA
b3705	0.02964	0.0078	0.2637
b3706	0.01431	0.0159	1.1132
b3707	NA	NA	NA
b3708	0.03791	0.0201	0.5291
b3709	0.0001	0.0035	34.6479
b3710	0.17153	0.116	0.6765
b3711	0.0727	0.0511	0.7027
b3712	0.21566	0.0594	0.2756
b3713	0.12797	0.0497	0.3886
b3714	0.02056	0.0279	1.3569
b3715	NA	NA	NA
b3716	0.34892	0.1086	0.3111
b3717	NA	NA	NA
b3718	0.10516	0.0322	0.3058
b3719	NA	NA	NA
b3720	NA	NA	NA
b3721	NA	NA	NA
b3722	0.1492	0.0479	0.3214
b3723	NA	NA	NA
b3724	0.01864	0.0146	0.7811
b3725	0.00712	0.0038	0.5355
b3726	0.01732	0.0153	0.886
b3727	0.02228	0.013	0.5833
b3728	0.04365	0.037	0.848
b3729	0.01556	0.0119	0.765
b3730	0.05064	0.0257	0.5065
b3731	0.04757	0.0033	0.0701
b3732	0.0001	0	0.0642
b3733	0.49732	0.0174	0.0351
b3734	0.00481	0.0009	0.1963
b3735	0.0965	0.0133	0.1378
b3736	0.09736	0.0078	0.0798
b3737	0.0001	0	0.0339
b3738	0.03078	0.0036	0.1171
b3739	0.07134	0.0068	0.0953
b3740	0.07809	0.024	0.3072
b3741	0.03269	0.0136	0.416
b3742	0.22258	0.0577	0.2593
b3743	0.00845	0.0061	0.7227
b3744	0.0935	0.0534	0.5708
b3745	0.06445	0.0323	0.5012
b3746	NA	NA	NA
b3747	0.02715	0.0101	0.3707
b3748	0.18846	0.0299	0.1587
b3749	NA	NA	NA
b3750	NA	NA	NA
b3751	0.01046	0.0033	0.3186
b3752	NA	NA	NA
b3753	NA	NA	NA
b3754	0.22759	0.063	0.2767
b3755	0.07324	0.0143	0.1946
b3757	NA	NA	NA
b3760	80.16058	0.0002	0
b3761	0.0001	0	0.001
b4480	0.03868	0.0162	0.418
b3764	0.0001	0	0.1057
b3765	0.16085	0.095	0.5906
b3766	0.2121	39.6697	187.0297
b4669	999	24.9636	0.025
b4488	0.07015	0.0441	0.6292
b3769	0.05732	0.0058	0.1008
b3770	0.00649	0.0049	0.7579
b3771	0.01521	0.0158	1.0369
b3772	NA	NA	NA
b3773	0.01914	0.0378	1.9766
b3774	0.02062	0.0176	0.8521
b3775	0.02755	0.0204	0.7407
b3777	0.11789	0.0338	0.2865
b3778	NA	NA	NA
b3779	NA	NA	NA
b3780	0.03988	0.0149	0.3735
b3781	0.68735	1.1795	1.716
b3783	0.01417	0.0045	0.3186
b3784	NA	NA	NA
b3785	NA	NA	NA
b3786	0.05081	0.0241	0.4742
b3787	0.05634	0.0275	0.4881
b3788	0.18863	0.0682	0.3615
b3789	NA	NA	NA
b3790	0.18399	0.0526	0.2858
b3791	0.05827	0.0237	0.4075
b3792	NA	NA	NA
b4481	0.16691	0.0847	0.5076
b3793	0.05297	0.0282	0.5332
b3794	0.08966	0.0303	0.3384
b3795	NA	NA	NA
b3796	0.0001	0	0.0008
b3797	0.0001	0	0.0016
b3798	NA	NA	NA
b3799	0.09216	0.0001	0.0008
b3800	0.12199	0.0976	0.8003
b3801	NA	NA	NA
b4456	NA	NA	NA
b3802	0.02754	0.0139	0.5038
b3803	0.1106	0.0715	0.6465
b3804	0.1972	0.0906	0.4593
b3805	0.07747	0.0405	0.5232
b3806	0.02662	0.0186	0.6987
b3807	0.03725	0.0398	1.0692
b4558	0.21668	0.0239	0.1105
b3809	0.03851	0.0212	0.5514
b3810	0.05438	0.0314	0.5774
b3811	0.05463	0.0352	0.645
b3812	0.03184	0.0162	0.5092
b3813	0.01024	0.013	1.2675
b4482	NA	NA	NA
b3816	NA	NA	NA
b3817	NA	NA	NA
b3818	NA	NA	NA
b3819	0.07201	0.0563	0.7816
b3820	0.06153	0.0192	0.3121
b3821	0.0261	0.0203	0.7793
b3822	0.03479	0.0351	1.0083
b3823	0.05533	0.0488	0.8821
b3824	0.0137	0.0214	1.5624
b3825	0.05809	0.0186	0.3207
b3826	0.04396	0.033	0.7513
b3827	0.0398	0.0181	0.4553
b3828	0.02301	0.0198	0.8598
b3829	0.05114	0.0406	0.7936
b3830	0.12784	0.0715	0.5595
b3831	0.02631	0.0111	0.42
b3832	NA	NA	NA
b3833	0.01895	0.0056	0.2964
b3834	0.0001	0	0.0107
b4707	0.4769	0.0491	0.1029
b3835	0.0343	0.011	0.3219
b3836	1.00871	0.0272	0.0269
b3838	0.33675	0.0514	0.1527
b3839	0.04925	0.013	0.2638
b4483	0.2377	0.0635	0.2673
b3842	0.05779	0.0281	0.4862
b3843	0.02117	0.0185	0.8752
b3844	NA	NA	NA
b3845	0.06234	0.0559	0.8964
b3846	0.07299	0.0539	0.7379
b3847	0.02777	0.0207	0.7445
b3848	0.12487	0.05	0.4003
b3849	0.02408	0.0071	0.2941
b3850	0.04229	0.0353	0.835
b3852	0.3999	0	0.0001
b3853	999	0.0001	0
b3856	0.3754	0.0844	0.2249
b3857	0.25498	0.1089	0.427
b3858	0.19367	0.0588	0.3038
b3859	0.10852	0.0274	0.2522
b3860	0.04097	0.0146	0.3575
b3861	NA	NA	NA
b3862	NA	NA	NA
b3863	0.04315	0.0179	0.4138
b3864	NA	NA	NA
b3865	NA	NA	NA
b4457	2.72968	166.1643	60.8731
b3866	0.2579	0.0537	0.2081
b3867	0.04203	0.0262	0.6231
b4686	1.44743	3.8283	2.6449
b3868	0.0357	0.0249	0.6976
b3869	NA	NA	NA
b3870	0.01241	0.0061	0.4908
b3871	0.00963	0.0033	0.3418
b3872	0.15478	0.0533	0.3444
b3873	0.06893	0.0466	0.6764
b3874	NA	NA	NA
b3875	0.38423	1.7536	4.5639
b3876	0.0672	0.0347	0.516
b3877	0.03478	0.0302	0.8696
b3878	0.0852	0.0637	0.7473
b3879	NA	NA	NA
b3880	NA	NA	NA
b3881	NA	NA	NA
b3882	0.08238	0.2882	3.4982
b3883	NA	NA	NA
b3884	0.03496	0.2146	6.1378
b3885	0.07902	0.0396	0.5016
b3886	0.0239	0.0095	0.3961
b3887	0.04259	0.0127	0.2988
b3888	0.01092	0.0106	0.9675
b3889	0.18829	0.1517	0.8058
b3890	0.85669	0.1378	0.1609
b3891	0.04942	0.0204	0.4127
b3892	0.08946	0.0127	0.1415
b3893	0.03501	0.014	0.399
b3894	0.07605	0.0143	0.1879
b3895	0.04431	0.0281	0.634
b3896	NA	NA	NA
b3897	0.14422	0.1596	1.1063
b3898	0.12019	0.1206	1.0034
b3899	0.03068	0.0242	0.7891
b3900	NA	NA	NA
b3901	0.12232	0.1079	0.882
b3902	NA	NA	NA
b3903	0.08387	0.0967	1.1528
b3904	0.1296	0.0923	0.7125
b3905	NA	NA	NA
b3906	0.24375	0.0922	0.3784
b3907	NA	NA	NA
b3908	0.08655	0.0381	0.44
b3909	0.08147	0.0189	0.2317
b3910	0.08035	0.0522	0.6498
b3911	0.02274	0.0146	0.6432
b3912	0.02278	0.0071	0.3125
b4484	0.50723	0.0216	0.0426
b3915	0.09199	0.0144	0.156
b3916	0.01488	0.0059	0.3942
b3917	0.82779	0.0514	0.0621
b3918	0.14777	0.0568	0.3841
b3919	0.00566	0.002	0.3486
b3920	0.13634	0.0215	0.1576
b3921	0.1	0.0401	0.4008
b3922	0.23006	0.0261	0.1137
b3923	0.13001	0.0197	0.1514
b3924	0.056	0.0426	0.7602
b3925	0.04408	0.0213	0.4843
b3926	0.01738	0.0108	0.621
b3927	0.0001	0	0.3998
b3928	0.17843	0.0081	0.0456
b3929	0.04117	0.008	0.1945
b3930	0.04028	0.012	0.2969
b3931	0.01714	0.0046	0.2692
b3932	0.014	0.0033	0.2359
b3933	0.22041	0.1219	0.5532
b3934	0.04057	0.0144	0.3552
b3935	0.04223	0.0541	1.2817
b3936	NA	NA	NA
b3937	0.18267	0.2002	1.0961
b3938	0.0001	0	0.1428
b3939	0.04141	0.0316	0.7643
b3940	0.02256	0.0164	0.7281
b3941	0.02262	0.0157	0.6957
b3942	0.01496	0.0092	0.6172
b3943	0.09242	0.059	0.6388
b3944	0.20107	0.1336	0.6646
b3945	0.03233	0.0258	0.7967
b3946	0.03993	0.0334	0.836
b3947	0.04688	0.0443	0.9457
b3949	0.04412	0.0377	0.855
b3950	0.02393	0.6181	25.8257
b3951	0.06	0.0415	0.6922
b3952	0.09697	0.0622	0.641
b3953	0.0697	0.0378	0.5423
b3954	0.0547	0.0271	0.4956
b3955	0.06135	0.0425	0.6926
b3956	0.02041	0.0078	0.3821
b3957	0.0589	0.0409	0.6948
b3958	0.13274	0.0459	0.346
b3959	0.05532	0.0261	0.4711
b3960	NA	NA	NA
b4458	NA	NA	NA
b3961	0.01399	0.0062	0.4407
b3962	0.02058	0.0088	0.4254
b3963	0.05178	0.0096	0.1855
b3964	0.0485	0.0165	0.3392
b3965	0.06992	0.0331	0.4733
b3966	NA	NA	NA
b3967	0.09004	0.0257	0.2853
b3969	0.39912	0	0.0001
b3972	0.1663	0.0636	0.3824
b3973	0.06942	0.043	0.6196
b3974	0.00473	0.0015	0.3089
b3976	0.0001	0	0.0007
b3977	999	0.0004	0
b3978	NA	NA	NA
b3979	0.55685	0.1139	0.2046
b3980	NA	NA	NA
b3981	NA	NA	NA
b3982	0.03993	0.0026	0.0663
b3983	0.0001	0	0.0499
b3984	0.05431	0.0064	0.1177
b3985	0.11554	0.003	0.0264
b3986	0.09003	0.0039	0.0433
b3987	0.01739	0.0039	0.2265
b3988	0.0001	0	0.0017
b3989	NA	NA	NA
b4691	NA	NA	NA
b3990	0.10457	0.0789	0.7545
b3991	0.12807	0.0794	0.6196
b4407	NA	NA	NA
